Isla,Sector,Cultivo,Trampa,Especie,Abundancia
Floreana,Anibal_San_Miguel_F1,Herbaceas,Colecta_manual,Scymnus_sp.,1
Floreana,Anibal_San_Miguel_F1,Maiz,Colecta_manual,Cycloneda_sanguinea,1
Floreana,Claudio_Cruz_F4,Yuca_,Colecta_manual,Allecula_insularis,1
Floreana,Anibal_San_Miguel_F1,Platano,Berless,Sericoderus_sp.,1
Floreana,Floreana_Witmer_F9,Herbaceas,Barrido,Phalacrus_darwini,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Scymnus_sp.,3.000000001
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Litargus_balteatus,1
Floreana,Ivan_Moreno_F8,Cana_de_azucar,Pitfall,Blapstinus_pubescens,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Barrido,Hypothenemus_eruditus,1
Floreana,Segundo_Moreno_F8,Pastizal,Amarilla,Hypothenemus_eruditus,1.999999999
Floreana,Claudio_Cruz_F5,Herbaceas,Succion,Metacanthus_galapagensis,1
Floreana,Pto._Velasco_Ibarra,Pina,Colecta_manual,Metacanthus_galapagensis,1
Floreana,R._Cisneros,Herbaceas,Pitfall,Phatnoma_eremaeum,1
Floreana,Segundo_Moreno_F8,Herbaceas,Malaise,Corythaica_cytharina,1
Floreana,Floreana_Witmer_F9,Herbaceas,Barrido,Podisus_sordidus,1
Floreana,Floreana_Witmer_F9,Platano,Berless,Phalacrus_darwini,1
Floreana,Finca_Abandonada,Platano,Berless,Hypotenemus_seriatus,1
Floreana,Finca_Abandonada,Pina,Succion,Drosophila_sp.,1.999999999
Floreana,Finca_Abandonada,Pina,Succion,Drosophila_sp.,1.999999999
Floreana,Ivan_Moreno_F8,Herbaceas,Malaise,Drosophila_sp.,1
Floreana,Finca_Abandonada,Herbaceas,Succion,Galapagomiris_sp_cf.,1
Floreana,Finca_Abandonada,Pina,Succion,Mumetopia_occipitalis,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Mumetopia_occipitalis,1
Floreana,Floreana_Witmer_F9,Pina,Barrido,Sericoderus_sp.,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Eubulus_sp.,1
Floreana,Segundo_Moreno_F8,Pastizal,Amarilla,Carpophilus_sp.,1
Floreana,Claudio_Cruz_F4,Pina,Cebos,Anisolabis_maritima,1
Floreana,Floreana_Witmer_F9,Limon,Colecta_manual,Corylophodes_sp.cf.,1
Floreana,Selva_Castillo_F2,Yuca_,Colecta_manual,Diomus_sp.,1
Floreana,Floreana_Witmer_F9,Limon,Colecta_manual,Pentilia_sp.,1
Floreana,Cecilia_Salgado_F3,Pina,Cebos,Stelidota_sp.,1.999999999
Floreana,Selva_Castillo_F2,Col,Amarilla,Carpophilus_dimidiatus,1
Floreana,Ivan_Moreno_F7,Cebolla_colorada,Pitfall,Conotelus_sp.,1
Floreana,Anibal_San_Miguel_F1,Cana_de_azucar,Pitfall,Conoderus_galapagoensis,1
Floreana,Segundo_Moreno_F8,Papaya,Colecta_manual,Belonuchus_rufipennis,1
Floreana,Segundo_Moreno_F8,Papa,Colecta_manual,Belonuchus_rufipennis,1
Floreana,Cecilia_Salgado_F3,Maiz,Colecta_manual,Belonuchus_rufipennis,1.999999999
Floreana,Cecilia_Salgado_F3,Lechuga,Amarilla,Sitophilus_sp.,1
Floreana,Claudio_Cruz_F4,Platano,Colecta_manual,Metamasius_hemipterus,1
Floreana,Segundo_Moreno_F8,Cana_de_azucar,Colecta_manual,Metamasius_hemipterus,1.999999999
Floreana,Claudio_Cruz_F4,Platano,Colecta_manual,Cosmopolites_sordidus,4.999999998
Floreana,Claudio_Cruz_F4,Platano,Colecta_manual,Cosmopolites_sordidus,4.999999998
Floreana,Claudio_Cruz_F4,Platano,Colecta_manual,Cosmopolites_sordidus,4.999999998
Floreana,Claudio_Cruz_F4,Yuca_,Golpeteo,Peripsocus_sp.,1
Floreana,Cecilia_Salgado_F3,Maiz,Pitfall,Wasmannia_auropunctata,21
Floreana,Ivan_Moreno_F7,Pina,Pitfall,Wasmannia_auropunctata,91
Floreana,Cecilia_Salgado_F3,Platano,Colecta_manual,Wasmannia_auropunctata,106
Floreana,Ivan_Moreno_F7,Herbaceas,Pitfall,Wasmannia_auropunctata,35
Floreana,Selva_Castillo_F2,Yuca_,Amarilla,Solenopsis_geminata,3.000000001
Floreana,Ivan_Moreno_F7,Herbaceas,Pitfall,Solenopsis_geminata,7
Floreana,Ivan_Moreno_F7,Herbaceas,Pitfall,Solenopsis_geminata,35
Floreana,Cecilia_Salgado_F3,Pina,Colecta_manual,Solenopsis_geminata,1
Floreana,Jose_Vera_F6,Platano,Pitfall,Solenopsis_geminata,11
Floreana,Anibal_San_Miguel_F1,Herbaceas,Pitfall,Solenopsis_geminata,1.999999999
Floreana,Anibal_San_Miguel_F1,Cana_de_azucar,Pitfall,Tetramorium_bicarinatum,1
Floreana,Anibal_San_Miguel_F1,Cana_de_azucar,Pitfall,Tetramorium_bicarinatum,1
Floreana,Anibal_San_Miguel_F1,Pastizal,Pitfall,Tetramorium_bicarinatum,1.999999999
Floreana,Anibal_San_Miguel_F1,Herbaceas,Colecta_manual,Tetramorium_bicarinatum,4
Floreana,Jose_Vera_F6,Herbaceas,Pitfall,Hypoponera_sp.,1
Floreana,Jose_Vera_F6,Herbaceas,Pitfall,Hypoponera_sp.,1
Floreana,Jose_Vera_F6,Herbaceas,Pitfall,Odontomachus_baurii,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Colecta_manual,Odontomachus_baurii,1
Floreana,Anibal_San_Miguel_F1,Col,Pitfall,Odontomachus_baurii,1
Floreana,Selva_Castillo_F2,Col,Amarilla,Drosophila_sp.,1.999999999
Floreana,Claudio_Cruz_F5,Limon,Mc_Phail,Drosophila_sp.,1
Floreana,Claudio_Cruz_F5,Limon,Mc_Phail,Drosophila_sp.,1
Floreana,Selva_Castillo_F2,Pina,Amarilla,Oxysarcodexia_taitensis,11
Floreana,Cecilia_Salgado_F3,Lechuga,Amarilla,Tricharaea_canuta,12
Floreana,Jose_Vera_F6,Cana_de_azucar,Pitfall,Tricharaea_canuta,4.999999998
Floreana,Anibal_San_Miguel_F1,Pina,Pitfall,Paratrechina_longicornis,3.000000001
Floreana,Finca_abandonada,Herbaceas,Barrido,Paratrechina_longicornis,1
Floreana,A._J._Mora_F1,Yuca_,Pitfall,Paratrechina_longicornis,1
Floreana,Finca_Abandonada,Ciruelo,Berless,Hypoponera_opaciceps,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Amarilla,Hypoponera_sp.,1
Floreana,Ivan_Moreno_F8,Herbaceas,Malaise,Hypoponera_sp.,1
Floreana,Jose_Vera_F6,Cana_de_azucar,Pitfall,Hypoponera_sp.,1
Floreana,Segundo_Moreno_F8,Platano,Pitfall,Hypoponera_sp.,1
Floreana,Ivan_Moreno_F7,Yuca_,Amarilla,Strumigenys_louisianae,1
Floreana,Selva_Castillo_F2,Col,Amarilla,Strumigenys_louisianae,1
Floreana,Claudio_Cruz_F5,Herbaceas,Pitfall,Solenopsis_geminata,20
Floreana,Finca_abandonada,Cana_de_azucar,Succion,Solenopsis_globularia,30
Floreana,Ivan_Moreno_1/2,Herbaceas,Pitfall,Tetramorium_simillimum,3.000000001
Floreana,Claudio_Cruz_F4,Maiz,Pitfall,Tetramorium_simillimum,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Pitfall,Tetramorium_simillimum,1
Floreana,Claudio_Cruz_F4,Maiz,Pitfall,Tetramorium_simillimum,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Pitfall,Tetramorium_simillimum,1.999999999
Floreana,Claudio_Cruz_F4,Herbaceas,Pitfall,Strumigenys_louisianae,1
Floreana,Floreana_Witmer_F9,Pina,Berless,Strumigenys_louisianae,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Succion,Monomorium_destructor,1.999999999
Floreana,Finca_Abandonada,Pina,Succion,Monomorium_pharaonis,7
Floreana,Cecilia_Salgado_F3,Pastizal,Trampa_de_luz,Ochlerotatus_taeniorhynchus_,4
Floreana,Cecilia_Salgado_F3,Pastizal,Trampa_de_luz,Chrysotus_brevicornis,1.999999999
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Neodexiopsis_devia,3.000000001
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Neodexiopsis_devia,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Neodexiopsis_devia,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Neodexiopsis_devia,1
Floreana,Cecilia_Salgado_F3,Naranja,Mc_Phail,Neodexiopsis_devia,1
Floreana,Segundo_Moreno_F8,Herbaceas,Malaise,Neodexiopsis_devia,3.000000001
Floreana,Ivan_Moreno_F8,Platano,Mc_Phail,Neodexiopsis_devia,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Brontaea_debilis,1.999999999
Floreana,Floreana_Witmer_F9,Naranja,Mc_Phail,Musca_domestica,1
Floreana,Ivan_Moreno_1/2,Platano,Mc_Phail,Musca_domestica,1
Floreana,Ivan_Moreno_F8,Herbaceas,Malaise,Musca_domestica,1
Floreana,Claudio_Cruz_F5,Naranja,Mc_Phail,Synthesiomyia_nudiseta,1
Floreana,Anibal_San_Miguel_F1,Guayaba,Mc_Phail,Synthesiomyia_nudiseta,1.999999999
Floreana,A._J._Mora_F1,Platano,Mc_Phail,Synthesiomyia_nudiseta,1
Floreana,Segundo_Moreno_F8,Herbaceas,Malaise,Synthesiomyia_nudiseta,1
Floreana,Floreana_Witmer_F9,Naranja,Mc_Phail,Philornis_sp.,1
Floreana,Anibal_San_Miguel_F1,Guayaba,Mc_Phail,Philornis_sp.,1
Floreana,Cecilia_Salgado_F3,Naranja,Mc_Phail,Philornis_sp.,1
Floreana,Segundo_Moreno_F8,Herbaceas,Malaise,Stomoxys_calcitrans,1
Floreana,Finca_Abandonada,Ciruelo,Mc_Phail,Oxysarcodexia_taitensis,6.000000001
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Oxysarcodexia_taitensis,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Amarilla,Sarcodexia_lambens,1
Floreana,Anibal_San_Miguel_F1,Pastizal,Amarilla,Sarcodexia_lambens,1
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Sarcodexia_lambens,1
Floreana,Jose_Vera_F6,Yuca_,Amarilla,Tricharaea_canuta,6.000000001
Floreana,Cecilia_Salgado_F3,Yuca_,Amarilla,Lucilia_pionia,1.999999999
Floreana,Segundo_Moreno_F8,Maiz,Amarilla,Lucilia_pionia,1
Floreana,Segundo_Moreno_F8,Pastizal,Amarilla,Hyphantrophaga_nr._viridis,1
Floreana,Cecilia_Salgado_F3,Pastizal,Amarilla,Hyphantrophaga_nr._viridis,1
Floreana,Cecilia_Salgado_F3,Pastizal,Malaise,Hyphantrophaga_nr._viridis,1
Floreana,Claudio_Cruz_F5,Naranja,Mc_Phail,Hyphantrophaga_nr._viridis,1
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Hyphantrophaga_nr._viridis,1
Floreana,Finca_Abandonada,Pina,Pitfall,Milichiella_sp._1,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Barrido,Milichiella_sp._1,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Pitfall,Milichiella_sp._1,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Milichiella_sp._2,3.000000001
Floreana,Ivan_Moreno_1/2,Cana_de_azucar,Pitfall,Milichiella_sp._2,1
Floreana,Ivan_Moreno_F8,Herbaceas,Amarilla,Loewimyia_sp._cf.,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Loewimyia_sp._cf.,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Calycomza_sp.,7
Floreana,Floreana_Witmer_F9,Herbaceas,Barrido,Calycomza_sp.,1.999999999
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Calycomza_sp.,1.999999999
Floreana,Cecilia_Salgado_F3,Herbaceas,Barrido,Calycomza_sp.,3.000000001
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Calycomza_sp.,1.999999999
Floreana,Anibal_San_Miguel_F1,Pastizal,Malaise,Calycomza_sp.,1
Floreana,Cecilia_Salgado_F3,Herbaceas,Malaise,Phytoliriomyza_sp._cf.,1.999999999
Floreana,Jose_Vera_F6,Herbaceas,Pitfall,Leptocera_sp.,1
Floreana,Jose_Vera_F6,Cana_de_azucar,Pitfall,Leptocera_sp.,1
Floreana,Selva_Castillo_F2,Herbaceas,Amarilla,Drosophila_sp.,1
