,Araneae,Neuroptera,Dermaptera,Odonata,Coleoptera,Hymenoptera,Diptera,Lepidoptera,Acari,Amphipoda,Collembola,Diplopoda,Embioptera,Isopoda,Polydesmida,Psocoptera,Spirostreptida,Hemiptera,Homoptera,Thysanoptera,Blattodea,Orthoptera,Anelide,Eupulmonata,Neristopsina,Pulmonata,Stylommatophora
Aguacate,0,3,0,0,7,778,313,11,203,0,40,0,0,9,2,5,0,0,0,0,0,0,0,34,0,0,0
Braquiaria,4,0,0,0,2,2,4,46,0,0,0,0,0,1,0,0,0,7,39,0,0,3,0,0,0,0,1
cafe,6,0,2,0,270,2374,238,34,224,0,32,3,0,12,0,64,0,13,473,49,1,3,0,2,1,0,9
Cana_de_azucar,0,0,0,0,2,754,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Cebolla_colorada,3,0,30,0,21,137,86,0,0,0,4695,0,0,250,46,0,0,9,7,10,0,3,0,0,0,0,0
Cilantro,0,0,0,0,1,118,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,0,0
Ciruelo,0,0,0,0,2,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col,0,0,1,0,55,1258,169,0,325,0,4477,2,0,699,41,0,0,20,61,0,8,1,0,0,0,0,0
Frejol,0,1,0,0,3,32,120,0,0,0,1247,0,0,0,0,0,0,41,22,0,0,0,0,0,0,0,0
Frutales_exoticos,1,0,0,0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Guaba,0,1,0,0,7,0,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Guayaba,1,4,0,0,8,234,556,0,123,0,1,0,0,3,0,0,0,8,8,0,0,0,0,0,0,0,0
Herbaceas,3,0,0,1,16,13,250,0,23,0,2,0,0,1,0,6,0,16,11,2,3,1,0,0,0,0,1
Hortalizas_mix,3,0,0,0,15,33,28,28,13,0,74,0,0,14,3,0,0,10,1,0,1,0,2,5,0,0,1
Lechuga,0,0,0,0,15,302,28,0,5,0,2132,0,0,0,7,0,0,24,2,0,0,0,0,0,0,3,0
Limon,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
Maiz,13,9,1,0,207,1789,703,63,399,0,17171,0,0,1,32,15,0,158,437,0,4,3,0,8,0,0,5
Mandarina,0,2,0,0,1,95,247,0,0,0,0,0,0,0,0,0,0,2,393,0,0,0,0,0,0,0,0
Mango,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Manzanilla,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miconia,4,0,0,0,2,120,9,0,57,131,1,0,0,0,63,1,0,0,2,0,0,12,3,0,0,0,0
Nabo,0,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,0
Naranja,0,2,0,0,13,326,469,0,0,0,8,2,0,1,0,1,0,5,250,0,0,1,0,0,0,0,1
Naranjilla,3,2,1,0,10,1319,29,0,342,0,11,2,0,5,4,1,2,4,20,0,0,0,0,1,0,0,0
Papa,6,0,1,0,3,11,38,0,0,0,69,0,0,0,0,0,0,22,0,0,1,1,0,0,0,8,0
Papaya,0,3,0,0,28,14,284,0,0,0,3,0,0,0,0,1,0,5,94,0,0,0,0,0,0,0,1
Pastizal,60,5,2,0,770,729,1211,7,295,0,94,0,2,37,21,56,0,277,1141,8,4,49,0,2,0,0,7
Pepino,0,0,0,0,15,113,5,0,0,0,0,0,0,0,3,0,0,12,9,0,0,0,0,0,0,0,0
Pimiento,0,0,0,0,23,671,64,0,231,0,587,0,0,47,123,0,0,34,56,0,2,3,3,0,0,0,0
Pina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,0,0,0
Platano,2,2,13,0,207,4632,135,0,848,0,31,2,0,38,9,40,0,18,613,0,6,0,3,60,0,0,0
Raban-Remol,0,0,0,0,12,87,0,0,0,0,750,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Sandia,0,0,0,0,0,31,0,0,0,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomate,0,0,0,0,27,421,318,0,88,0,6238,0,0,2,18,0,0,86,256,0,0,3,0,1,0,0,0
Tomate_de_arbol,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Toronja,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,77,0,0,0,0,0,0,0,0
Yuca,0,0,0,0,13,236,114,29,28,0,6149,0,0,1,59,1,0,1,20,0,0,0,0,0,0,0,0
Zanahoria,0,0,0,0,8,23,132,49,0,0,0,0,0,0,0,0,0,27,17,0,0,0,0,0,0,0,0
Zapallo,0,0,0,0,4,17,11,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
