,Araneae,Neuroptera,Dermaptera,Coleoptera,Hymenoptera,Diptera,Acari,Collembola,Isopoda,Polydesmida,Psocoptera,Hemiptera,Homoptera,Thysanoptera,Blattodea,Orthoptera,Anelide,Pulmonata,Stylommatophora
Aguacate,0,0,0,10,62,6,55,0,1,4,0,1,0,0,0,0,0,0,4
Cana_de_azucar,5,0,7,37,1006,236,279,7,9,0,1,3,58,1,10,1,0,0,1
Cebolla_colorada,0,0,0,13,4,34,0,4,0,2,1,3,20,2,2,0,0,0,0
Ciruelo,0,0,0,4,9772,7,0,0,0,0,0,0,1,0,1,0,0,0,0
Col,7,0,1,9,149,60,64,940,1,1,1,10,8,8,2,1,0,0,0
Frejol,0,0,0,6,25,81,0,0,0,0,0,0,1,0,0,0,0,0,0
Frejol_de_arbol,0,0,0,0,634,38,90,0,1,0,0,0,5,0,1,0,0,0,0
Frutales_exoticos,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0
Guayaba,1,0,0,0,47,73,0,0,0,0,0,0,0,2,0,0,0,0,0
Herbaceas,14,2,5,93,39431,1107,1975,9,7,16,29,53,132,10,0,1,35,1,55
Lechuga,1,0,0,4,8,78,0,1,4,2,1,0,21,1,2,2,0,0,1
Limon,5,0,2,6,2,15,0,10,6,0,0,1,67,2,0,0,0,0,0
Maiz,14,0,3,18,1175,33,163,1,0,0,6,69,71,40,1,0,1,0,6
Naranja,0,0,0,0,63,17,0,0,0,0,0,0,0,0,1,0,0,0,0
Papa,0,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
Papaya,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastizal,2,2,3,45,36703,202,798,0,8,0,10,1,9,46,1,5,0,0,25
Pina,9,0,2,20,670,274,256,1,9,7,4,7,54,10,0,0,3,0,67
Platano,11,0,0,43,1325,132,266,0,4,1,26,0,17,1,1,0,0,1,1
Tomate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Yuca,7,0,0,13,317,105,174,21,4,15,10,32,47,8,5,1,0,0,4
