"Muestra","Isla","Cultivo","Shannon"
"Cristobal_Aguacate","Cristobal","Aguacate",1.92886915661861
"Cristobal_Braquiaria_","Cristobal","Braquiaria",3.05263016257083
"Cristobal_Cana_de_azucar","Cristobal","Cana",0.216101262238017
"Cristobal_Cebolla_colorada","Cristobal","Cebolla",0.619595623649157
"Cristobal_Cilantro","Cristobal","Cilantro",0.485603683816124
"Cristobal_Ciruelo","Cristobal","Ciruelo",1.13036608250858
"Cristobal_Col","Cristobal","Col",1.4039172610382
"Cristobal_Frejol","Cristobal","Frejol",0.863488583544638
"Cristobal_Frutales_exoticos","Cristobal","Frutales",0.912718809627031
"Cristobal_Guaba","Cristobal","Guaba",0.593936284383815
"Cristobal_Guayaba","Cristobal","Guayaba",2.18184083765246
"Cristobal_Herbaceas","Cristobal","Herbaceas",2.4611896953656
"Cristobal_Hortalizas_mix","Cristobal","Hortalizas",2.77138155134302
"Cristobal_Lechuga","Cristobal","Lechuga",0.631031999791775
"Cristobal_Limon","Cristobal","Limon",0.311731378462437
"Cristobal_Maiz","Cristobal","Maiz",0.997975398496605
"Cristobal_Mandarina","Cristobal","Mandarina",1.53435170789542
"Cristobal_Mango","Cristobal","Mango",2.56183539949152
"Cristobal_Manzanilla","Cristobal","Manzanilla",0
"Cristobal_Miconia","Cristobal","Miconia",1.9226152032151
"Cristobal_Nabo","Cristobal","Nabo",0.0675801461656584
"Cristobal_Naranja","Cristobal","Naranja",1.74998287954572
"Cristobal_Naranjilla","Cristobal","Naranjilla",0.94902811418286
"Cristobal_Papa","Cristobal","Papa",2.28413685860409
"Cristobal_Papaya","Cristobal","Papaya",2.0934603922508
"Cristobal_Pastizal","Cristobal","Pastizal",3.83436946667051
"Cristobal_Pepino","Cristobal","Pepino",1.13162661095401
"Cristobal_Pimiento","Cristobal","Pimiento",2.15975814509497
"Cristobal_Pina","Cristobal","Pina",0.0621776517110812
"Cristobal_Platano","Cristobal","Platano",1.44629140912526
"Cristobal_Raban-Remol","Cristobal","Raban-Remol",0.453385729130613
"Cristobal_Sandia","Cristobal","Sandia",0.0947495915573058
"Cristobal_Tomate","Cristobal","Tomate",0.952245020683119
"Cristobal_Tomate_de_arbol","Cristobal","Tomate",1.49607118560001
"Cristobal_Toronja","Cristobal","Toronja",0.719407546690491
"Cristobal_Yuca_","Cristobal","Yuca",0.449269380473395
"Cristobal_Zanahoria","Cristobal","Zanahoria",3.30061035553117
"Cristobal_Zapallo","Cristobal","Zapallo",2.5178000139199
"Cristobal_cafe","Cristobal","cafe",2.17269293541034
"Floreana_Aguacate","Floreana","Aguacate",1.72303773170967
"Floreana_Cana_de_azucar","Floreana","Cana",2.27903071118034
"Floreana_Cebolla_colorada","Floreana","Cebolla",1.9090228961933
"Floreana_Ciruelo","Floreana","Ciruelo",0.0133360869726206
"Floreana_Col","Floreana","Col",1.33079695699514
"Floreana_Frejol","Floreana","Frejol",1.68073037349825
"Floreana_Frejol_de_arbol","Floreana","Frejol",0.674479792916293
"Floreana_Frutales_exoticos","Floreana","Frutales",0.0671968803695251
"Floreana_Guayaba","Floreana","Guayaba",0.900605550902908
"Floreana_Herbaceas","Floreana","Herbaceas",0.865842171825209
"Floreana_Lechuga","Floreana","Lechuga",1.99552736397132
"Floreana_Limon","Floreana","Limon",2.37273281326345
"Floreana_Maiz","Floreana","Maiz",1.68907210573842
"Floreana_Naranja","Floreana","Naranja",1.86164764078683
"Floreana_Papa","Floreana","Papa",1.27703425940822
"Floreana_Papaya","Floreana","Papaya",1.03972077092656
"Floreana_Pastizal","Floreana","Pastizal",0.307744389758474
"Floreana_Pina","Floreana","Pina",2.52577436571014
"Floreana_Platano","Floreana","Platano",1.7579783953578
"Floreana_Tomate","Floreana","Tomate",0
"Floreana_Yuca_","Floreana","Yuca",2.92143596824324
"Floreana_papa","Floreana","papa",0
"Isabela_Aguacate","Isabela","Aguacate",1.5490697480926
"Isabela_Aji","Isabela","Aji",0
"Isabela_Cebolla_colorada","Isabela","Cebolla",3.15697419499478
"Isabela_Ciruelo","Isabela","Ciruelo",0.139060798454741
"Isabela_Col","Isabela","Col",1.41214084161137
"Isabela_Espino","Isabela","Espino",1.29454516584576
"Isabela_Floripondio","Isabela","Floripondio",0.693147180559945
"Isabela_Frejol","Isabela","Frejol",0.620954042338487
"Isabela_Frutales_exoticos","Isabela","Frutales",1.26823849163204
